Category,Total SHAP,Percent,N features
AF,4.647577435976662,32.57599111475732,1
Splicing,2.450189566764307,17.173969590807257,30
Histone marks,1.8945868094139575,13.279615868656483,33
VEP,1.5246581867119053,10.686696935676068,8
TF binding,1.0961191485941615,7.6829634658502695,18
CAGE,1.0576438264360264,7.413280653669767,10
DNase,0.6757902662184558,4.736776957680893,7
Contact maps,0.6666272430977843,4.6725511187626045,9
PROCAP,0.1793973996894936,1.2574396400707666,3
ATAC,0.0742897328374819,0.5207146540685756,1
