feature,importance
gnomAD_AF,330037.53249049187
vep_IMPACT_score,46077.1403131485
SPLICE_SITE_USAGE_muscle_of_arm_usage_UBERON_0001499_polyA_plus_RNA_seq,34419.89760899544
SPLICE_SITE_USAGE_ascending_aorta_usage_UBERON_0001496_total_RNA_seq,22518.49045228958
SPLICE_SITE_USAGE_Purkinje_cell_usage_CL_0000121_polyA_plus_RNA_seq,19353.241921424866
CAGE_camera_type_eye_hCAGE_UBERON_0000019,16452.381309509277
SPLICE_SITE_USAGE_dorsolateral_prefrontal_cortex_usage_UBERON_0009834_total_RNA_seq,16102.681805610657
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_total_RNA_seq,15183.906299114227
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_total_RNA_seq,11445.91459941864
SPLICE_SITE_USAGE_urinary_bladder_usage_UBERON_0001255_total_RNA_seq,10166.514607429504
SPLICE_JUNCTIONS_dorsolateral_prefrontal_cortex_junction_UBERON_0009834_total_RNA_seq,8728.930508613586
vep_LoF,7166.92990732193
SPLICE_SITE_USAGE_metanephros_usage_UBERON_0000081_total_RNA_seq,5218.459084510803
CONTACT_MAPS_H1_hESC_4dn_4DNFI82R42AD,4297.288033008575
SPLICE_JUNCTIONS_BE2C_junction_EFO_0005725_polyA_plus_RNA_seq,3758.8544750213623
vep_PolyPhen_score,3038.646152496338
SPLICE_SITES_nan_acceptor,2913.550666332245
SPLICE_JUNCTIONS_ascending_aorta_junction_UBERON_0001496_total_RNA_seq,2868.151756286621
SPLICE_JUNCTIONS_PFSK_1_junction_EFO_0005234_polyA_plus_RNA_seq,2780.199516773224
CONTACT_MAPS_skin_fibroblast_4dn_4DNFIMDOXUT8,2720.3595447540283
CHIP_HISTONE_iPS_18a_EFO_0007105_Histone_ChIP_seq_H3K9me3,2408.4876556396484
SPLICE_SITE_USAGE_parietal_lobe_usage_UBERON_0001872_total_RNA_seq,2141.937028169632
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_polyA_plus_RNA_seq,2127.8472306728363
CAGE_pancreas_hCAGE_UBERON_0001264,2113.798614501953
CHIP_HISTONE_neuronal_stem_cell_CL_0000047_Histone_ChIP_seq_H3K9me3,2006.1715545654297
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_total_RNA_seq,1971.277702331543
SPLICE_JUNCTIONS_Purkinje_cell_junction_CL_0000121_polyA_plus_RNA_seq,1826.7991259098053
CONTACT_MAPS_HCT116_4dn_4DNFILP99QJS,1787.4978013038635
PROCAP_MCF_10A_ENCSR860TYZ,1738.55757522583
vep_SIFT_score,1702.295108795166
vep_is_synonymous,1632.0442533493042
CONTACT_MAPS_CyT49_4dn_4DNFI2VYSX9M,1537.169737815857
CAGE_parotid_gland_hCAGE_UBERON_0001831,1504.3413181304932
CONTACT_MAPS_H9_4dn_4DNFIRO3DQCO,1496.9943079948425
CONTACT_MAPS_H1_hESC_4dn_4DNFI6HDY7WZ,1426.4280400276184
SPLICE_SITES_nan_donor,1406.3436813354492
CAGE_seminal_vesicle_hCAGE_UBERON_0000998,1322.7964363098145
DNASE_epidermal_melanocyte_CL_2000000_DNase_seq,1271.0822448730469
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_RBFOX2,1180.287458896637
CAGE_neuron_hCAGE_CL_0000540,1169.5154027938843
CHIP_HISTONE_H9_EFO_0003045_Histone_ChIP_seq_H3K9me3,1129.5340213775635
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_NR2F1_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_NR2F1,1083.8460936546326
SPLICE_JUNCTIONS_kidney_junction_UBERON_0002113_polyA_plus_RNA_seq,1074.704104423523
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_total_RNA_seq,1054.6434671878815
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_ZC3H13_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_ZC3H13,992.9284381866455
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_POLR2AphosphoS5,989.4332809448242
CAGE_vertebral_mesenchymal_stem_cell_hCAGE_CL_0002572,972.1068210601807
SPLICE_JUNCTIONS_motor_neuron_junction_CL_0000100_total_RNA_seq,952.0947523117065
DNASE_chondrocyte_CL_0000138_DNase_seq,945.3747415542603
CHIP_HISTONE_hepatocyte_CL_0000182_Histone_ChIP_seq_H3K79me2,925.0675258636475
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_NR2C2,904.2043161392212
CHIP_HISTONE_K562_EFO_0002067_Histone_ChIP_seq_H3K79me2,891.48868227005
SPLICE_SITE_USAGE_BE2C_usage_EFO_0005725_polyA_plus_RNA_seq,889.3920531272888
CONTACT_MAPS_CyT49_4dn_4DNFIK3NF6R2,831.2424621582031
CHIP_HISTONE_neural_cell_CL_0002319_Histone_ChIP_seq_H3K79me2,803.8606486320496
CHIP_HISTONE_prostate_gland_UBERON_0002367_Histone_ChIP_seq_H3K36me3,791.3325958251953
CHIP_TF_K562_EFO_0002067_TF_ChIP_seq_BRF2,772.755982875824
CHIP_HISTONE_brain_UBERON_0000955_Histone_ChIP_seq_H3K27me3,772.0648880004883
CHIP_HISTONE_HUES48_EFO_0007083_Histone_ChIP_seq_H3K9me3,749.0549240112305
CHIP_TF_HEK293_EFO_0001182_TF_ChIP_seq_ZSCAN4_genetically_modified_insertion_using_site_specific_recombination_targeting_H_sapiens_ZSCAN4,734.597074508667
CHIP_HISTONE_prostate_gland_UBERON_0002367_Histone_ChIP_seq_H3K4me3,724.1457138061523
SPLICE_JUNCTIONS_frontal_cortex_junction_UBERON_0001870_total_RNA_seq,719.7989754676819
CHIP_HISTONE_stomach_UBERON_0000945_Histone_ChIP_seq_H3K27me3,717.1918797492981
CAGE_fungiform_papilla_hCAGE_UBERON_0002448,707.9895915985107
CHIP_HISTONE_muscle_of_trunk_UBERON_0001774_Histone_ChIP_seq_H3K9me3,706.511492729187
CHIP_HISTONE_substantia_nigra_UBERON_0002038_Histone_ChIP_seq_H3K4me3,693.1638722419739
CHIP_TF_HEK293_EFO_0001182_TF_ChIP_seq_HOXB7_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_HOXB7,692.6496915817261
SPLICE_JUNCTIONS_HeLa_S3_junction_EFO_0002791_polyA_plus_RNA_seq,690.519305229187
DNASE_A549_EFO_0001086_DNase_seq,687.3043665885925
CHIP_HISTONE_esophagus_squamous_epithelium_UBERON_0006920_Histone_ChIP_seq_H3K27me3,679.4746017456055
DNASE_COLO829_EFO_0002140_DNase_seq,676.6456527709961
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_TAF1,674.605441570282
CHIP_HISTONE_amnion_UBERON_0000305_Histone_ChIP_seq_H3K36me3,664.4494352340698
DNASE_urothelium_cell_line_EFO_0005913_DNase_seq,660.0526823997498
CHIP_HISTONE_MM1S_EFO_0005724_Histone_ChIP_seq_H3K27me3,655.4898591041565
CHIP_HISTONE_neuron_CL_0000540_Histone_ChIP_seq_H3K36me3,652.3090825080872
SPLICE_JUNCTIONS_occipital_lobe_junction_UBERON_0002021_total_RNA_seq,642.0250091552734
CHIP_TF_A549_EFO_0001086_TF_ChIP_seq_NR3C1,639.5252151489258
CHIP_TF_A549_EFO_0001086_TF_ChIP_seq_REST,630.5394992828369
PROCAP_endothelial_cell_of_umbilical_vein_ENCSR801ECP,627.6093244552612
vep_Consequence_synonymous_variant,624.8456611633301
CHIP_HISTONE_HEK293_EFO_0001182_Histone_ChIP_seq_H3K36me3,614.7048978805542
CHIP_HISTONE_VCaP_EFO_0007752_Histone_ChIP_seq_H3K27ac,596.3394460678101
CHIP_HISTONE_Panc1_EFO_0002713_Histone_ChIP_seq_H3K36me3,578.2327947616577
CAGE_neutrophil_LQhCAGE_CL_0000775,577.9851069450378
CHIP_HISTONE_fibroblast_of_lung_CL_0002553_Histone_ChIP_seq_H3K79me2,550.3039636611938
CHIP_HISTONE_muscle_of_leg_UBERON_0001383_Histone_ChIP_seq_H3K9me3,543.7166786193848
ATAC_central_memory_CD8_positive_alpha_beta_T_cell_CL_0000907_ATAC_seq,540.7775039672852
DNASE_mesenteric_fat_pad_UBERON_0015143_DNase_seq,540.4772386550903
CAGE_umbilical_cord_blood_LQhCAGE_UBERON_0012168,539.2322111129761
CONTACT_MAPS_H1_hESC_4dn_4DNFINFQV712,531.8953146934509
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_SYNCRIP,529.0848488807678
CONTACT_MAPS_H9_4dn_4DNFIT5YVTLO,521.8919944763184
CHIP_TF_HeLa_S3_EFO_0002791_TF_ChIP_seq_E2F1,518.7173891067505
CHIP_HISTONE_neutrophil_CL_0000775_Histone_ChIP_seq_H3K36me3,508.70209407806396
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_ZNF384,507.29013538360596
CHIP_TF_K562_EFO_0002067_TF_ChIP_seq_ATF1_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_ATF1,501.2438716888428
CHIP_HISTONE_effector_memory_CD4_positive_alpha_beta_T_cell_CL_0000905_Histone_ChIP_seq_H3K27ac,499.637996673584
vep_Consequence_intron_variant,479.9076256752014
PROCAP_Calu3_ENCSR797DEF,478.8492999076843
SPLICE_JUNCTIONS_diencephalon_junction_UBERON_0001894_total_RNA_seq,463.93573665618896
vep_Consequence_downstream_gene_variant,462.0066747665405
CHIP_HISTONE_HepG2_EFO_0001187_Histone_ChIP_seq_H3K27ac,461.6439971923828
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_polyA_plus_RNA_seq,451.94405603408813
CHIP_HISTONE_neural_progenitor_cell_CL_0011020_Histone_ChIP_seq_H4K20me1,451.50800037384033
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_gtex_Testis_polyA_plus_RNA_seq,443.64998722076416
DNASE_SW480_EFO_0002083_DNase_seq,442.80018520355225
CHIP_HISTONE_peripheral_blood_mononuclear_cell_CL_2000001_Histone_ChIP_seq_H3K4me3,439.47641372680664
CHIP_TF_gastroesophageal_sphincter_UBERON_0004550_TF_ChIP_seq_POLR2AphosphoS5,428.50661849975586
CHIP_TF_SK_N_SH_EFO_0003072_TF_ChIP_seq_FOXJ3_genetically_modified_insertion_using_CRISPR_targeting_H_sapiens_FOXJ3,420.82279872894287
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_polyA_plus_RNA_seq,418.32688093185425
CHIP_HISTONE_HepG2_EFO_0001187_Histone_ChIP_seq_H4K20me1,407.6737766265869
CHIP_HISTONE_skin_epidermis_UBERON_0001003_Histone_ChIP_seq_H3K27ac,404.46470642089844
CHIP_HISTONE_SK_N_SH_EFO_0003072_Histone_ChIP_seq_H4K20me1,389.0477657318115
CHIP_HISTONE_PC_9_EFO_0002847_Histone_ChIP_seq_H3F3A,385.13306522369385
CHIP_TF_SK_N_SH_EFO_0003072_TF_ChIP_seq_ZBTB33,380.85126399993896
CAGE_tricuspid_valve_hCAGE_UBERON_0002134,380.11883640289307
CHIP_HISTONE_PC_9_EFO_0002847_Histone_ChIP_seq_H3K9me2,378.5020980834961
CHIP_HISTONE_cardiac_muscle_cell_CL_0000746_Histone_ChIP_seq_H3K36me3,371.86526703834534
SPLICE_SITE_USAGE_type_B_pancreatic_cell_usage_CL_0000169_total_RNA_seq,370.81529998779297
