benchmark,model,n_scored,prevalence,max_net_benefit,max_net_benefit_threshold,integrated_net_benefit,threshold_range_positive_nb,threshold_range_beats_both_strategies
dvd,AGVarPred,8388,0.023247496423462088,0.015204500898349252,0.01,-0.14558673846282214,0.01-0.03,0.01-0.03
dvd,AlphaMissense,143,0.027972027972027972,0.01815356360810906,0.01,-0.010163345981693175,0.01-0.99,0.28-0.99
dvd,REVEL,855,0.07368421052631578,0.06456376631815228,0.01,0.03279239219592262,0.01-0.97,0.01-0.97
gnomad_benign,AGVarPred,4989,0.0,0.0,0.8300000000000001,-0.0012804852993126606,none,none
gnomad_benign,AlphaMissense,516,0.0,-0.010081434500039153,0.01,-0.06349873007615789,none,none
gnomad_benign,REVEL,1235,0.0,0.0,0.98,-0.040890321210505995,none,none
grimm2015,AGVarPred,5258,0.09737542791936098,0.08619093175958904,0.01,-0.43627710565824174,0.01-0.17,0.02-0.17
grimm2015,AlphaMissense,607,0.0,-0.010101010101010102,0.01,-0.12105535773502102,none,none
grimm2015,REVEL,5188,0.09811102544333077,0.08862137177480277,0.01,-0.04523721033514833,0.01-0.13,0.06-0.13
humsavar,AGVarPred,14718,0.08948226661231146,0.08173459009170383,0.01,-0.2386229305966586,0.01-0.20,0.01-0.20
humsavar,AlphaMissense,4707,0.06777140429148078,0.058354953829778566,0.01,-0.05818723032369894,0.01-0.19,0.02-0.19
humsavar,REVEL,14379,0.09020098755129008,0.08123027338549976,0.01,0.015200517229652759,0.01-0.99,0.01-0.99
internal_test,AGVarPred,12385,0.3694792087202261,0.36617201485994383,0.01,0.28016707817125996,0.01-0.99,0.01-0.99
mave_independent,AGVarPred,7557,0.4963609898107715,0.36224358177514193,0.01,-0.016150728113601805,0.01-0.53,0.49-0.53
mave_independent,AlphaMissense,483,0.5175983436853002,0.5127255996821214,0.01,-0.21604568984955103,0.01-0.60,0.04-0.60
mave_independent,REVEL,2299,0.5167464114832536,0.5118738494119095,0.01,0.16876007167954102,0.01-0.76,0.01-0.76
