benchmark,comparison,competitor,n_common,n_pos,n_neg,auc_agvarpred,auc_competitor,auc_diff,se,z,p_value,ci_low,ci_high,stars,note
humsavar,AGVarPred vs CADD,CADD,14716,1316,13400,0.8262165710202786,0.8711748344145533,-0.04495826339427478,0.005793665150937196,-7.759900205313424,8.43769498715119e-15,-0.05631384709011168,-0.03360267969843787,***,
humsavar,AGVarPred vs AlphaMissense,AlphaMissense,4707,319,4388,0.8332742760963927,0.8823354803496568,-0.0490612042532641,0.012410870324468106,-3.9530833028316827,7.715056262247444e-05,-0.07338651008922159,-0.024735898417306612,***,
humsavar,AGVarPred vs REVEL,REVEL,14379,1297,13082,0.8302018983042375,0.9423137514547055,-0.11211185315046801,0.004973343957360004,-22.54254966310037,0.0,-0.12185960730689362,-0.1023640989940424,***,
mave_independent,AGVarPred vs CADD,CADD,6663,3326,3337,0.5292684511258902,0.5620163580734674,-0.03274790694757723,0.0075843205758215045,-4.317843189800835,1.575613032089862e-05,-0.04761317527618738,-0.017882638618967085,***,
mave_independent,AGVarPred vs AlphaMissense,AlphaMissense,483,250,233,0.5353648068669526,0.6967896995708154,-0.16142489270386273,0.03667053021385679,-4.402033233838126,1.0724112479598702e-05,-0.23329913192302204,-0.08955065348470342,***,
mave_independent,AGVarPred vs REVEL,REVEL,2299,1188,1111,0.5005989235287165,0.6991081683925968,-0.19850924486388033,0.015351434393815517,-12.930990015099294,0.0,-0.22859805627575874,-0.16842043345200192,***,
gnomad_benign,AGVarPred vs CADD,CADD,4989,0,4989,,,,,,,,,na,insufficient_common_subset_or_single_class
gnomad_benign,AGVarPred vs AlphaMissense,AlphaMissense,516,0,516,,,,,,,,,na,insufficient_common_subset_or_single_class
gnomad_benign,AGVarPred vs REVEL,REVEL,1235,0,1235,,,,,,,,,na,insufficient_common_subset_or_single_class
grimm2015,AGVarPred vs CADD,CADD,3819,30,3789,0.7170405559954254,0.6950822556523268,0.021958300343098536,0.03440295654582582,0.6382678277621108,0.5232993509187647,-0.04547149448672007,0.08938809517291714,ns,
grimm2015,AGVarPred vs AlphaMissense,AlphaMissense,607,0,607,,,,,,,,,na,insufficient_common_subset_or_single_class
grimm2015,AGVarPred vs REVEL,REVEL,5188,509,4679,0.7460647435706335,0.6407870554847118,0.10527768808592164,0.012418712091904685,8.477343488343562,0.0,0.08093701238578846,0.12961836378605482,***,
dvd,AGVarPred vs CADD,CADD,8279,135,8144,0.9751382522011206,0.9974236884231973,-0.022285436222076682,0.005979976557719447,-3.726676184592865,0.00019402146442026869,-0.034006190275206793,-0.010564682168946567,***,
dvd,AGVarPred vs AlphaMissense,AlphaMissense,143,4,139,0.7158273381294964,0.9784172661870504,-0.262589928057554,0.18414988571321847,-1.4259575944917624,0.15388058291185236,-0.6235237040554622,0.09834384794035422,ns,
dvd,AGVarPred vs REVEL,REVEL,855,63,792,0.9029781946448612,0.9787057078723745,-0.07572751322751337,0.02242157059110258,-3.3774401717230225,0.0007316386718974055,-0.11967379158607441,-0.03178123486895231,***,
