feature,importance
vep_IMPACT_score,520
CAGE_camera_type_eye_hCAGE_UBERON_0000019,479
CHIP_HISTONE_SK_N_SH_EFO_0003072_Histone_ChIP_seq_H4K20me1,457
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_RBFOX2,450
CAGE_seminal_vesicle_hCAGE_UBERON_0000998,430
CHIP_TF_HepG2_EFO_0001187_TF_ChIP_seq_POLR2AphosphoS5,428
CAGE_neutrophil_LQhCAGE_CL_0000775,427
CAGE_tricuspid_valve_hCAGE_UBERON_0002134,427
CHIP_HISTONE_neutrophil_CL_0000775_Histone_ChIP_seq_H3K36me3,417
CAGE_parotid_gland_hCAGE_UBERON_0001831,411
CHIP_HISTONE_brain_UBERON_0000955_Histone_ChIP_seq_H3K27me3,411
CHIP_HISTONE_neuronal_stem_cell_CL_0000047_Histone_ChIP_seq_H3K9me3,410
CAGE_vertebral_mesenchymal_stem_cell_hCAGE_CL_0002572,410
CHIP_HISTONE_MM1S_EFO_0005724_Histone_ChIP_seq_H3K27me3,410
CHIP_HISTONE_K562_EFO_0002067_Histone_ChIP_seq_H3K79me2,407
CHIP_HISTONE_cardiac_muscle_cell_CL_0000746_Histone_ChIP_seq_H3K36me3,405
CHIP_HISTONE_neuron_CL_0000540_Histone_ChIP_seq_H3K36me3,386
CHIP_TF_HEK293_EFO_0001182_TF_ChIP_seq_ZSCAN4_genetically_modified_insertion_using_site_specific_recombination_targeting_H_sapiens_ZSCAN4,385
CHIP_HISTONE_amnion_UBERON_0000305_Histone_ChIP_seq_H3K36me3,384
SPLICE_SITE_USAGE_ascending_aorta_usage_UBERON_0001496_total_RNA_seq,381
CAGE_fungiform_papilla_hCAGE_UBERON_0002448,374
CAGE_pancreas_hCAGE_UBERON_0001264,374
CAGE_neuron_hCAGE_CL_0000540,374
CHIP_HISTONE_substantia_nigra_UBERON_0002038_Histone_ChIP_seq_H3K4me3,370
CHIP_HISTONE_VCaP_EFO_0007752_Histone_ChIP_seq_H3K27ac,365
CHIP_HISTONE_fibroblast_of_lung_CL_0002553_Histone_ChIP_seq_H3K79me2,364
CHIP_HISTONE_HepG2_EFO_0001187_Histone_ChIP_seq_H4K20me1,364
