biosample,tissue_group,total_shap,mean_shap,median_shap,n_features,pct_of_alphagenome,shap_ci_low,shap_ci_high,rank
HepG2_EFO_0001187,Liver / digestive,0.6855616184909498,0.06855616184909498,0.06269271845235495,10,8.469323902069398,0.5549889225049389,0.8289063648966752,1
ascending_aorta,Heart / vasculature,0.3537337287880055,0.17686686439400276,0.17686686439400276,2,4.369972652183909,0.1514325057426654,0.5560349518333456,2
testis,Reproductive,0.31971177775213677,0.07992794443803419,0.06491622092057125,4,3.9496706467458353,0.13950013419371582,0.5581708037960331,3
H1_hESC,Embryonic / stem,0.2983577048888621,0.09945256829628736,0.0737310477638922,3,3.685865680380363,0.0699702539172333,0.6039097174576764,4
camera_type_eye,Eye / sensory,0.2895607152891868,0.2895607152891868,0.2895607152891868,1,3.577189009643188,,,5
Purkinje_cell,Brain / CNS,0.26173106596828266,0.13086553298414133,0.13086553298414133,2,3.2333857572111757,0.0735709647193748,0.4498911672171906,6
K562_EFO_0002067,Blood / immune,0.2331018146376198,0.0777006048792066,0.0788488488866704,3,2.879704343238705,0.1012890205666809,0.3614698766861673,7
dorsolateral_prefrontal_cortex,Brain / CNS,0.20417466094419512,0.10208733047209756,0.10208733047209756,2,2.5223426888131937,0.1739780571326358,0.2343712647557544,8
BE2C,Brain / CNS,0.1900262010035878,0.0950131005017939,0.0950131005017939,2,2.3475547679021296,0.1822690766899918,0.1977833253171838,9
SK_N_SH_EFO_0003072,Brain / CNS,0.158843596976552,0.05294786565885067,0.043614128000147,3,1.9623296233027812,0.0719515600261614,0.2737368469030536,10
nan,Other,0.1582930601062928,0.0791465300531464,0.0791465300531464,2,1.9555283745915124,0.1428813797095924,0.1737047405029932,11
A549_EFO_0001086,Lung,0.15296433632700882,0.05098811210900294,0.0469956474359465,3,1.8896981319785195,0.0914114873284365,0.22649457934475042,12
gastroesophageal_sphincter_UBERON_0004550,Liver / digestive,0.1442898211061833,0.1442898211061833,0.1442898211061833,1,1.7825344910787886,,,13
mesenteric_fat_pad_UBERON_0015143,Heart / vasculature,0.1428194440480568,0.1428194440480568,0.1428194440480568,1,1.764369676673255,,,14
HEK293_EFO_0001182,Other,0.1424641546730521,0.047488051557684034,0.0485995664340749,3,1.7599804858044577,0.1267084393730664,0.1548853253438652,15
tricuspid_valve,Heart / vasculature,0.1414522217612913,0.1414522217612913,0.1414522217612913,1,1.7474792206144203,,,16
H9,Embryonic / stem,0.1355728579631448,0.0677864289815724,0.0677864289815724,2,1.6748464550080113,0.1051090236735484,0.1660366922527412,17
epidermal_melanocyte_CL_2000000,Skin,0.1195077697386096,0.1195077697386096,0.1195077697386096,1,1.4763807999609795,,,18
PC_9_EFO_0002847,Lung,0.117436024031353,0.0587180120156765,0.0587180120156765,2,1.4507867687838831,0.0734315556624418,0.1614404924002642,19
urothelium_cell_line_EFO_0005913,Kidney / urinary,0.1138380465551815,0.1138380465551815,0.1138380465551815,1,1.4063379026044691,,,20
PFSK_1,Brain / CNS,0.1094713939896646,0.1094713939896646,0.1094713939896646,1,1.3523929413527431,,,21
fungiform_papilla,Liver / digestive,0.1091764034973386,0.1091764034973386,0.1091764034973386,1,1.3487486737039223,,,22
muscle_of_arm,Muscle,0.1062459585025514,0.1062459585025514,0.1062459585025514,1,1.3125464022105415,,,23
prostate_gland_UBERON_0002367,Liver / digestive,0.09947998823851209,0.049739994119256045,0.049739994119256045,2,1.2289606352534386,0.038480689401872,0.1604792870751522,24
chondrocyte_CL_0000138,Connective / mesenchyme,0.0960099332591868,0.0960099332591868,0.0960099332591868,1,1.1860921041320704,,,25
parietal_lobe,Brain / CNS,0.0954902631106651,0.0954902631106651,0.0954902631106651,1,1.1796721782036692,,,26
parotid_gland,Liver / digestive,0.0934362650153408,0.0934362650153408,0.0934362650153408,1,1.1542973983234495,,,27
neutrophil_CL_0000775,Blood / immune,0.0905215480844643,0.0905215480844643,0.0905215480844643,1,1.118289428938033,,,28
cardiac_muscle_cell_CL_0000746,Heart / vasculature,0.0894301643465438,0.0894301643465438,0.0894301643465438,1,1.1048066403329093,,,29
MCF_10A,Reproductive,0.0860077087008003,0.0860077087008003,0.0860077087008003,1,1.0625261441346665,,,30
pancreas,Liver / digestive,0.0849559459684737,0.0849559459684737,0.0849559459684737,1,1.049532827402894,,,31
vertebral_mesenchymal_stem_cell,Connective / mesenchyme,0.0842213599207231,0.0842213599207231,0.0842213599207231,1,1.0404578631625745,,,32
HCT116,Liver / digestive,0.0823106219361368,0.0823106219361368,0.0823106219361368,1,1.0168528968882522,,,33
neuron_CL_0000540,Brain / CNS,0.0809888203976051,0.0809888203976051,0.0809888203976051,1,1.0005235618407036,,,34
urinary_bladder,Kidney / urinary,0.0789378302013252,0.0789378302013252,0.0789378302013252,1,0.9751859410875184,,,35
metanephros,Kidney / urinary,0.0784519611008083,0.0784519611008083,0.0784519611008083,1,0.9691835881621278,,,36
CyT49,Embryonic / stem,0.0777343959551954,0.0388671979775977,0.0388671979775977,2,0.9603188975564774,0.067525727722175,0.0879430641882158,37
substantia_nigra_UBERON_0002038,Brain / CNS,0.0769392807764114,0.0769392807764114,0.0769392807764114,1,0.9504961656430477,,,38
HeLa_S3,Reproductive,0.0766342392545365,0.0766342392545365,0.0766342392545365,1,0.9467277291048041,,,39
neuron,Brain / CNS,0.0752475200008968,0.0752475200008968,0.0752475200008968,1,0.9295964104843676,,,40
brain_UBERON_0000955,Brain / CNS,0.0749247584788206,0.0749247584788206,0.0749247584788206,1,0.9256090637603702,,,41
central_memory_CD8_positive_alpha_beta_T_cell_CL_0000907,Blood / immune,0.0742897328374819,0.0742897328374819,0.0742897328374819,1,0.9177640536291798,,,42
skin_fibroblast,Skin,0.0726516623544452,0.0726516623544452,0.0726516623544452,1,0.8975275801728697,,,43
