feature,assay,biosample,track,tissue_group,mean_abs_shap
SPLICE_SITE_USAGE_muscle_of_arm_usage_UBERON_0001499_polyA_plus_RNA_seq,SPLICE_SITE_USAGE,muscle_of_arm,usage_UBERON_0001499_polyA_plus,Muscle,0.1062459585025514
SPLICE_SITE_USAGE_ascending_aorta_usage_UBERON_0001496_total_RNA_seq,SPLICE_SITE_USAGE,ascending_aorta,usage_UBERON_0001496_total,Heart / vasculature,0.2780174759166728
SPLICE_SITE_USAGE_Purkinje_cell_usage_CL_0000121_polyA_plus_RNA_seq,SPLICE_SITE_USAGE,Purkinje_cell,usage_CL_0000121_polyA_plus,Brain / CNS,0.2249455836085953
CAGE_camera_type_eye_hCAGE_UBERON_0000019,CAGE,camera_type_eye,cage_UBERON_0000019,Eye / sensory,0.2895607152891868
SPLICE_SITE_USAGE_dorsolateral_prefrontal_cortex_usage_UBERON_0009834_total_RNA_seq,SPLICE_SITE_USAGE,dorsolateral_prefrontal_cortex,usage_UBERON_0009834_total,Brain / CNS,0.1171856323778772
SPLICE_SITE_USAGE_testis_usage_UBERON_0000473_total_RNA_seq,SPLICE_SITE_USAGE,testis,usage_UBERON_0000473_total,Reproductive,0.0803866925027365
SPLICE_SITE_USAGE_cerebellum_usage_UBERON_0002037_total_RNA_seq,SPLICE_SITE_USAGE,cerebellum,usage_UBERON_0002037_total,Brain / CNS,0.023952703817981
SPLICE_SITE_USAGE_urinary_bladder_usage_UBERON_0001255_total_RNA_seq,SPLICE_SITE_USAGE,urinary_bladder,usage_UBERON_0001255_total,Kidney / urinary,0.0789378302013252
SPLICE_JUNCTIONS_dorsolateral_prefrontal_cortex_junction_UBERON_0009834_total_RNA_seq,SPLICE_JUNCTIONS,dorsolateral_prefrontal_cortex,junction_UBERON_0009834_total,Brain / CNS,0.0869890285663179
SPLICE_SITE_USAGE_metanephros_usage_UBERON_0000081_total_RNA_seq,SPLICE_SITE_USAGE,metanephros,usage_UBERON_0000081_total,Kidney / urinary,0.0784519611008083
CONTACT_MAPS_H1_hESC_4dn_4DNFI82R42AD,CONTACT_MAPS,H1_hESC,4dn_4DNFI82R42AD,Embryonic / stem,0.2013032391525588
SPLICE_JUNCTIONS_BE2C_junction_EFO_0005725_polyA_plus_RNA_seq,SPLICE_JUNCTIONS,BE2C,junction_EFO_0005725_polyA_plus,Brain / CNS,0.0911345383449959
SPLICE_SITES_nan_acceptor,SPLICE_SITES,nan,acceptor,Other,0.0868523702514966
SPLICE_JUNCTIONS_ascending_aorta_junction_UBERON_0001496_total_RNA_seq,SPLICE_JUNCTIONS,ascending_aorta,junction_UBERON_0001496_total,Heart / vasculature,0.0757162528713327
SPLICE_JUNCTIONS_PFSK_1_junction_EFO_0005234_polyA_plus_RNA_seq,SPLICE_JUNCTIONS,PFSK_1,junction_EFO_0005234_polyA_plus,Brain / CNS,0.1094713939896646
CONTACT_MAPS_skin_fibroblast_4dn_4DNFIMDOXUT8,CONTACT_MAPS,skin_fibroblast,4dn_4DNFIMDOXUT8,Skin,0.0726516623544452
CHIP_HISTONE_iPS_18a_EFO_0007105_Histone_ChIP_seq_H3K9me3,CHIP_HISTONE,iPS_18a_EFO_0007105,H3K9me3,Embryonic / stem,0.0321020237360985
SPLICE_SITE_USAGE_parietal_lobe_usage_UBERON_0001872_total_RNA_seq,SPLICE_SITE_USAGE,parietal_lobe,usage_UBERON_0001872_total,Brain / CNS,0.0954902631106651
SPLICE_JUNCTIONS_testis_junction_UBERON_0000473_polyA_plus_RNA_seq,SPLICE_JUNCTIONS,testis,junction_UBERON_0000473_polyA_plus,Reproductive,0.1695750181525424
CAGE_pancreas_hCAGE_UBERON_0001264,CAGE,pancreas,cage_UBERON_0001264,Liver / digestive,0.0849559459684737
CHIP_HISTONE_neuronal_stem_cell_CL_0000047_Histone_ChIP_seq_H3K9me3,CHIP_HISTONE,neuronal_stem_cell_CL_0000047,H3K9me3,Brain / CNS,0.0424957313451925
SPLICE_JUNCTIONS_spinal_cord_junction_UBERON_0002240_total_RNA_seq,SPLICE_JUNCTIONS,spinal_cord,junction_UBERON_0002240_total,Brain / CNS,0.0316095432631412
SPLICE_JUNCTIONS_Purkinje_cell_junction_CL_0000121_polyA_plus_RNA_seq,SPLICE_JUNCTIONS,Purkinje_cell,junction_CL_0000121_polyA_plus,Brain / CNS,0.0367854823596874
CONTACT_MAPS_HCT116_4dn_4DNFILP99QJS,CONTACT_MAPS,HCT116,4dn_4DNFILP99QJS,Liver / digestive,0.0823106219361368
PROCAP_MCF_10A_ENCSR860TYZ,PROCAP,MCF_10A,ENCSR860TYZ,Reproductive,0.0860077087008003
CONTACT_MAPS_CyT49_4dn_4DNFI2VYSX9M,CONTACT_MAPS,CyT49,4dn_4DNFI2VYSX9M,Embryonic / stem,0.0439715320941079
CAGE_parotid_gland_hCAGE_UBERON_0001831,CAGE,parotid_gland,cage_UBERON_0001831,Liver / digestive,0.0934362650153408
