tissue_group,total_shap,mean_shap,median_shap,n_features,n_biosamples,pct_of_alphagenome,shap_ci_low,shap_ci_high,rank
Brain / CNS,1.780370789059042,0.06847579957919392,0.06357140237928476,26,19,21.994429780819118,1.397307144770225,2.263305026298375,1
Liver / digestive,1.5927317391009277,0.06924920604786643,0.0629051993399356,23,13,19.67636551364219,1.3117284504832205,1.8710798149697478,2
Heart / vasculature,0.7923691825761159,0.13206153042935265,0.11544119305391755,6,5,9.788808294179148,0.5106180791656061,1.1543649782043972,3
Blood / immune,0.6767938657841237,0.06767938657841237,0.06080867740947685,10,8,8.361008419457042,0.5372567911756713,0.8416100144897958,4
Reproductive,0.6558207670214925,0.07286897411349917,0.0702265002353415,9,6,8.101909949152057,0.4520695858006543,0.9093769611359352,5
Embryonic / stem,0.6395318642494352,0.05813926038631229,0.0391858643700776,11,7,7.900679323246341,0.3938162854661835,0.9955398658693413,6
Lung,0.36582171266660357,0.05226024466665765,0.0469956474359465,7,4,4.5193057654001825,0.2622845544290996,0.47265797865090503,7
Kidney / urinary,0.33350823041817695,0.08337705760454424,0.07869489565106674,4,4,4.120109923357418,0.2657790078839112,0.42045196986686967,8
Other,0.3007572147793449,0.06015144295586898,0.0516284417812884,5,2,3.7155088603959703,0.2332998675648158,0.3805973670433609,9
Eye / sensory,0.2895607152891868,0.2895607152891868,0.2895607152891868,1,1,3.577189009643188,,,10
Skin,0.2858661749353551,0.07146654373383877,0.06467449608033435,4,4,3.531547220368662,0.1836799014626756,0.4152206390220523,11
Muscle,0.2012804439919541,0.06709348133065136,0.064897002573046,3,3,2.4865879730440335,0.09041244874907009,0.3187378755076542,12
Connective / mesenchyme,0.1802312931799099,0.09011564658995495,0.09011564658995495,2,2,2.226549967294645,0.1684427198414462,0.1920198665183736,13
