N,N_positive,N_negative,AUC,AUPRC,FPR,Accuracy,Precision,Recall,F1,MCC,Specificity,AUC_CI_low,AUC_CI_high,AUPRC_CI_low,AUPRC_CI_high,benchmark,variant_type
8817,461,8356,0.9111777786546407,0.3729030158463146,0.1565342269028243,0.8411024157876829,0.21957040572792363,0.7982646420824295,0.3444080486663547,0.36407074130246675,0.8434657730971756,0.899385318354899,0.9231340060891209,0.33958492052678324,0.41128752615501335,humsavar,missense
4968,813,4155,0.6441318348201532,0.22518882980633323,0.4553549939831528,0.5634057971014492,0.22075782537067545,0.6592865928659286,0.33076211045973464,0.15092949244980594,0.5446450060168472,0.6257265546482179,0.6618548615089039,0.21158480773565821,0.24144780059625792,humsavar,other
137,4,133,0.730263157894737,0.10216534150156412,0.21804511278195488,0.7737226277372263,0.06451612903225806,0.5,0.11428571428571428,0.11344925893375957,0.7819548872180451,0.4397791353383459,0.9248120300751881,0.03150429170045958,0.26666666666666666,humsavar,non_coding_exon
182,8,174,0.841594827586207,0.33466117216117214,0.12643678160919541,0.8626373626373627,0.18518518518518517,0.625,0.2857142857142857,0.2875359303560015,0.8735632183908046,0.6767061781609195,0.9687589798850574,0.1268599595337271,0.657412067099567,humsavar,UTR
359,11,348,0.9000783699059562,0.18637487896964133,0.12643678160919541,0.8662952646239555,0.13725490196078433,0.6363636363636364,0.22580645161290322,0.25172908805175714,0.8735632183908046,0.845444749216301,0.9458006792058516,0.11172669243581046,0.3778816938549929,humsavar,intron
198,16,182,0.9388736263736264,0.49507745398832914,0.2087912087912088,0.803030303030303,0.2830188679245283,0.9375,0.43478260869565216,0.4485674523013881,0.7912087912087912,0.9019574175824177,0.9721840659340659,0.348164836636177,0.7043338160397056,humsavar,splice
25,3,22,0.5909090909090908,0.19740740740740742,0.18181818181818182,0.76,0.2,0.3333333333333333,0.25,0.12309149097933272,0.8181818181818182,0.25,0.9090909090909091,0.11703703703703704,0.6002777777777775,humsavar,synonymous
32,1,31,0.8387096774193549,0.1,0.9354838709677419,0.09375,0.03333333333333333,1.0,0.06451612903225806,0.04637388957601683,0.06451612903225806,0.7419354838709677,0.9193548387096775,0.06666666666666667,0.16666666666666666,humsavar,stop_gained
7388,3690,3698,0.5324902056484059,0.5177164984990774,0.28231476473769607,0.5249052517596102,0.5396825396825397,0.33170731707317075,0.4108761329305136,0.053542864217451955,0.717685235262304,0.5196750633170204,0.5453101407264749,0.5070605665731112,0.5289360358698487,mave_independent,other
104,35,69,0.5681159420289855,0.3885309509014137,0.7536231884057971,0.46153846153846156,0.37349397590361444,0.8857142857142857,0.5254237288135594,0.15548318270500494,0.2463768115942029,0.44815217391304346,0.6759937888198758,0.316386801105806,0.5084356787598192,mave_independent,missense
65,26,39,0.4270216962524655,0.35905279347811714,0.28205128205128205,0.47692307692307695,0.21428571428571427,0.11538461538461539,0.15,-0.19861800768944576,0.717948717948718,0.2795488165680473,0.5665680473372781,0.3091207755547456,0.4704820981606334,mave_independent,synonymous
322,0,322,,,0.0,1.0,,,,,,,,,,gnomad_benign,UTR
794,0,794,,,0.0,1.0,,,,,,,,,,gnomad_benign,synonymous
1812,0,1812,,,0.0,1.0,,,,,,,,,,gnomad_benign,intron
784,0,784,,,0.0,1.0,,,,,,,,,,gnomad_benign,missense
173,0,173,,,0.03468208092485549,0.9653179190751445,,,,,,,,,,gnomad_benign,splice
25,0,25,,,0.2,0.8,,,,,,,,,,gnomad_benign,stop_gained
829,0,829,,,0.0012062726176115801,0.9987937273823885,,,,,,,,,,gnomad_benign,other
250,0,250,,,0.0,1.0,,,,,,,,,,gnomad_benign,non_coding_exon
4385,409,3976,0.7463574232682157,0.18509900558060163,0.37525150905432597,0.6371721778791334,0.17203107658157601,0.7579462102689487,0.2804161013116237,0.22620265314642102,0.6247484909456741,0.7267346207440241,0.7658923436708269,0.16875101815651142,0.20539125311160644,grimm2015,missense
