benchmark,method,N,N_positive,AUC,AUPRC,AUC_CI_low,AUC_CI_high,AUPRC_CI_low,AUPRC_CI_high
humsavar,AGVarPred,5901,856,0.6833336420810833,0.22017475405486425,0.6676729498763466,0.6982479327408464,0.2067655917808349,0.23540210906225642
humsavar,CADD,5899,855,0.8487969030426978,0.41175423260837835,0.836185517736318,0.862181553788648,0.3890178095001785,0.43820231480639976
humsavar,AlphaMissense,1867,211,0.8815194495958971,0.5800298087533761,0.8538289960963437,0.9079306256725509,0.516871612451223,0.6493146384708102
humsavar,REVEL,5583,836,0.9347737125336273,0.7231653456159548,0.9254715960117849,0.9424080828435588,0.6942168807809668,0.7530971853499927
mave_independent,AGVarPred,7453,3716,0.5316726618549616,0.5164433565087873,0.5186427984432865,0.544862236629141,0.506124994590232,0.5280429088811552
mave_independent,CADD,6559,3291,0.5642596718843387,0.5628338921288828,0.5505259850127215,0.5780654845918936,0.5505217180664549,0.5772089524737913
mave_independent,AlphaMissense,466,246,0.6875646711012564,0.6661108611380229,0.6354300628233556,0.7366456485587582,0.6178052811976503,0.7227370743969521
mave_independent,REVEL,2195,1153,0.6980400790394081,0.705205018183403,0.6766520264252647,0.7209149689618837,0.6797945782017443,0.7317044027580385
gnomad_benign,AGVarPred,4205,0,,,,,,
gnomad_benign,CADD,4205,0,,,,,,
gnomad_benign,AlphaMissense,209,0,,,,,,
gnomad_benign,REVEL,463,0,,,,,,
grimm2015,AGVarPred,873,103,0.7521560963308536,0.2215707214056695,0.7076085928634473,0.7908567645946287,0.18896560535767798,0.2684888594829326
grimm2015,CADD,593,2,0.7313874788494078,0.009068627450980391,0.6328257191201354,0.8214890016920474,0.008222574706415336,0.01802211302211302
grimm2015,AlphaMissense,93,0,,,,,,
grimm2015,REVEL,823,100,0.6998478561549101,0.26822267832896207,0.6383393845089903,0.7511728907330568,0.21019355403259873,0.34544878747918095
dvd,AGVarPred,7663,136,0.9811604693690948,0.8362248159265676,0.9698351742550348,0.9900352236849302,0.7834005315657536,0.8855992931081452
dvd,CADD,7555,77,0.9983440603258736,0.9519257813428214,0.9962883766407435,0.999817668624502,0.9099796603210196,0.9868749017888794
dvd,AlphaMissense,73,2,0.9788732394366197,0.7,0.9295774647887324,1.0,0.2857142857142857,1.0
dvd,REVEL,131,5,0.9920634920634921,0.8583333333333332,0.974563492063492,1.0,0.6260951548451549,1.0
