benchmark,variant_type,method,N_scored,N_total,coverage_pct
humsavar,missense,AGVarPred,8817,8817,100.0
humsavar,missense,CADD,8817,8817,100.0
humsavar,missense,AlphaMissense,2840,8817,32.21050243847114
humsavar,missense,REVEL,8796,8817,99.76182374957469
humsavar,other,AGVarPred,4968,4968,100.0
humsavar,other,CADD,4966,4968,99.9597423510467
humsavar,other,AlphaMissense,1545,4968,31.09903381642512
humsavar,other,REVEL,4790,4968,96.4170692431562
humsavar,non_coding_exon,AGVarPred,137,137,100.0
humsavar,non_coding_exon,CADD,137,137,100.0
humsavar,non_coding_exon,AlphaMissense,36,137,26.277372262773724
humsavar,non_coding_exon,REVEL,66,137,48.175182481751825
humsavar,UTR,AGVarPred,182,182,100.0
humsavar,UTR,CADD,182,182,100.0
humsavar,UTR,AlphaMissense,61,182,33.51648351648352
humsavar,UTR,REVEL,178,182,97.8021978021978
humsavar,intron,AGVarPred,359,359,100.0
humsavar,intron,CADD,359,359,100.0
humsavar,intron,AlphaMissense,164,359,45.682451253481894
humsavar,intron,REVEL,345,359,96.10027855153203
humsavar,splice,AGVarPred,198,198,100.0
humsavar,splice,CADD,198,198,100.0
humsavar,splice,AlphaMissense,57,198,28.78787878787879
humsavar,splice,REVEL,193,198,97.47474747474747
humsavar,synonymous,AGVarPred,25,25,100.0
humsavar,synonymous,CADD,25,25,100.0
humsavar,synonymous,AlphaMissense,4,25,16.0
humsavar,synonymous,REVEL,11,25,44.0
humsavar,stop_gained,AGVarPred,32,32,100.0
humsavar,stop_gained,CADD,32,32,100.0
humsavar,stop_gained,AlphaMissense,0,32,0.0
humsavar,stop_gained,REVEL,0,32,0.0
mave_independent,other,AGVarPred,7388,7388,100.0
mave_independent,other,CADD,6494,7388,87.89929615592854
mave_independent,other,AlphaMissense,466,7388,6.3075257173795345
mave_independent,other,REVEL,2194,7388,29.69680563075257
mave_independent,missense,AGVarPred,104,104,100.0
mave_independent,missense,CADD,104,104,100.0
mave_independent,missense,AlphaMissense,17,104,16.346153846153847
mave_independent,missense,REVEL,104,104,100.0
mave_independent,synonymous,AGVarPred,65,65,100.0
mave_independent,synonymous,CADD,65,65,100.0
mave_independent,synonymous,AlphaMissense,0,65,0.0
mave_independent,synonymous,REVEL,1,65,1.5384615384615385
gnomad_benign,UTR,AGVarPred,322,322,100.0
gnomad_benign,UTR,CADD,322,322,100.0
gnomad_benign,UTR,AlphaMissense,16,322,4.968944099378882
gnomad_benign,UTR,REVEL,51,322,15.838509316770187
gnomad_benign,synonymous,AGVarPred,794,794,100.0
gnomad_benign,synonymous,CADD,794,794,100.0
gnomad_benign,synonymous,AlphaMissense,5,794,0.6297229219143576
gnomad_benign,synonymous,REVEL,46,794,5.793450881612091
gnomad_benign,intron,AGVarPred,1812,1812,100.0
gnomad_benign,intron,CADD,1812,1812,100.0
gnomad_benign,intron,AlphaMissense,68,1812,3.752759381898455
gnomad_benign,intron,REVEL,111,1812,6.125827814569536
gnomad_benign,missense,AGVarPred,784,784,100.0
gnomad_benign,missense,CADD,784,784,100.0
gnomad_benign,missense,AlphaMissense,307,784,39.15816326530612
gnomad_benign,missense,REVEL,772,784,98.46938775510205
gnomad_benign,splice,AGVarPred,173,173,100.0
gnomad_benign,splice,CADD,173,173,100.0
gnomad_benign,splice,AlphaMissense,9,173,5.202312138728324
gnomad_benign,splice,REVEL,21,173,12.138728323699421
gnomad_benign,stop_gained,AGVarPred,25,25,100.0
gnomad_benign,stop_gained,CADD,25,25,100.0
gnomad_benign,stop_gained,AlphaMissense,0,25,0.0
gnomad_benign,stop_gained,REVEL,1,25,4.0
gnomad_benign,other,AGVarPred,829,829,100.0
gnomad_benign,other,CADD,829,829,100.0
gnomad_benign,other,AlphaMissense,97,829,11.700844390832328
gnomad_benign,other,REVEL,196,829,23.64294330518697
gnomad_benign,non_coding_exon,AGVarPred,250,250,100.0
gnomad_benign,non_coding_exon,CADD,250,250,100.0
gnomad_benign,non_coding_exon,AlphaMissense,14,250,5.6
gnomad_benign,non_coding_exon,REVEL,37,250,14.8
grimm2015,missense,AGVarPred,4385,4385,100.0
grimm2015,missense,CADD,3226,4385,73.56898517673888
grimm2015,missense,AlphaMissense,514,4385,11.721778791334094
grimm2015,missense,REVEL,4365,4385,99.54389965792474
grimm2015,splice,AGVarPred,81,81,100.0
grimm2015,splice,CADD,56,81,69.1358024691358
grimm2015,splice,AlphaMissense,6,81,7.407407407407407
grimm2015,splice,REVEL,80,81,98.76543209876543
grimm2015,other,AGVarPred,578,578,100.0
grimm2015,other,CADD,397,578,68.68512110726644
grimm2015,other,AlphaMissense,46,578,7.958477508650519
grimm2015,other,REVEL,572,578,98.96193771626298
grimm2015,intron,AGVarPred,128,128,100.0
grimm2015,intron,CADD,105,128,82.03125
grimm2015,intron,AlphaMissense,35,128,27.34375
grimm2015,intron,REVEL,122,128,95.3125
grimm2015,synonymous,AGVarPred,39,39,100.0
grimm2015,synonymous,CADD,2,39,5.128205128205129
grimm2015,synonymous,AlphaMissense,0,39,0.0
grimm2015,synonymous,REVEL,3,39,7.6923076923076925
grimm2015,non_coding_exon,AGVarPred,24,24,100.0
grimm2015,non_coding_exon,CADD,17,24,70.83333333333333
grimm2015,non_coding_exon,AlphaMissense,0,24,0.0
grimm2015,non_coding_exon,REVEL,23,24,95.83333333333333
grimm2015,UTR,AGVarPred,23,23,100.0
grimm2015,UTR,CADD,16,23,69.56521739130434
grimm2015,UTR,AlphaMissense,6,23,26.08695652173913
grimm2015,UTR,REVEL,23,23,100.0
dvd,UTR,AGVarPred,307,307,100.0
dvd,UTR,CADD,306,307,99.6742671009772
dvd,UTR,AlphaMissense,0,307,0.0
dvd,UTR,REVEL,0,307,0.0
dvd,missense,AGVarPred,725,725,100.0
dvd,missense,CADD,724,725,99.86206896551724
dvd,missense,AlphaMissense,70,725,9.655172413793103
dvd,missense,REVEL,724,725,99.86206896551724
dvd,synonymous,AGVarPred,267,267,100.0
dvd,synonymous,CADD,267,267,100.0
dvd,synonymous,AlphaMissense,6,267,2.247191011235955
dvd,synonymous,REVEL,4,267,1.4981273408239701
dvd,splice,AGVarPred,67,67,100.0
dvd,splice,CADD,59,67,88.05970149253731
dvd,splice,AlphaMissense,1,67,1.492537313432836
dvd,splice,REVEL,16,67,23.880597014925375
dvd,intron,AGVarPred,6792,6792,100.0
dvd,intron,CADD,6777,6792,99.77915194346289
dvd,intron,AlphaMissense,3,6792,0.044169611307420496
dvd,intron,REVEL,46,6792,0.6772673733804476
dvd,stop_gained,AGVarPred,39,39,100.0
dvd,stop_gained,CADD,39,39,100.0
dvd,stop_gained,AlphaMissense,0,39,0.0
dvd,stop_gained,REVEL,0,39,0.0
dvd,frameshift,AGVarPred,54,54,100.0
dvd,frameshift,CADD,10,54,18.51851851851852
dvd,frameshift,AlphaMissense,0,54,0.0
dvd,frameshift,REVEL,0,54,0.0
dvd,other,AGVarPred,137,137,100.0
dvd,other,CADD,97,137,70.8029197080292
dvd,other,AlphaMissense,63,137,45.98540145985402
dvd,other,REVEL,65,137,47.44525547445255
